Task,Indicator,AUROC,AUPR,FPR@95
3 (Near-OOD),Prediction MSE (Baseline),0.967,0.892541954911922,0.095
3 (Near-OOD),Gradient Norm Mean,0.9814,0.9582225904119848,0.075
3 (Near-OOD),Gradient Cosine Similarity,0.57155,0.3290709190734822,0.525
3 (Near-OOD),Magnitude-Coherence Product (Ours),0.96805,0.9190524615882822,0.125
4 (Far-OOD),Prediction MSE (Baseline),0.9923,0.9815128446104063,0.025
4 (Far-OOD),Gradient Norm Mean,0.99975,0.9994922680153299,0.0
4 (Far-OOD),Gradient Cosine Similarity,0.52935,0.31275710262125694,0.535
4 (Far-OOD),Magnitude-Coherence Product (Ours),0.99325,0.985363238881368,0.025
5 (Real-World OOD),Prediction MSE (Baseline),0.93045,0.8028400402125233,0.175
5 (Real-World OOD),Gradient Norm Mean,0.95185,0.8944468842613079,0.17
5 (Real-World OOD),Gradient Cosine Similarity,0.7101,0.43796559280282804,0.485
5 (Real-World OOD),Magnitude-Coherence Product (Ours),0.8161,0.6811857447140374,0.95
