Task,Indicator,AUROC,AUPR,FPR@95
2 (ID High Noise),Prediction MSE (Baseline),1.0,1.0,0.0
2 (ID High Noise),Gradient Norm Mean,1.0,1.0,0.0
2 (ID High Noise),Gradient Cosine Similarity,0.9904999999999999,0.9800614108846495,0.01
2 (ID High Noise),Magnitude-Coherence Product (Ours),0.7975999999999999,0.8747525739075034,0.99
3 (Near-OOD),Prediction MSE (Baseline),1.0,1.0,0.0
3 (Near-OOD),Gradient Norm Mean,1.0,1.0,0.0
3 (Near-OOD),Gradient Cosine Similarity,0.9827,0.9455305847255868,0.06
3 (Near-OOD),Magnitude-Coherence Product (Ours),1.0,1.0,0.0
4 (Far-OOD),Prediction MSE (Baseline),1.0,1.0,0.0
4 (Far-OOD),Gradient Norm Mean,1.0,1.0,0.0
4 (Far-OOD),Gradient Cosine Similarity,0.9778,0.9400575376222672,0.07
4 (Far-OOD),Magnitude-Coherence Product (Ours),1.0,1.0,0.0
5 (Real-World OOD),Prediction MSE (Baseline),1.0,1.0,0.0
5 (Real-World OOD),Gradient Norm Mean,1.0,1.0,0.0
5 (Real-World OOD),Gradient Cosine Similarity,0.9896999999999999,0.9765895218014149,0.01
5 (Real-World OOD),Magnitude-Coherence Product (Ours),0.9184,0.9541137871689893,0.99
