Evaluation Task,Indicator,AUROC,AUPR,FPR@95
Near-OOD Detection,UMAP-2D Mahalanobis,0.4841435661764706,0.5170313126242356,0.9441176470588235
Near-OOD Detection,PCA-10D Mahalanobis,0.5618112132352941,0.5982781100549167,0.9502941176470588
Near-OOD Detection,Prediction MSE (50 Qs),0.9997875,0.9995650674193926,0.0025
Near-OOD Detection,Prediction MSE (20 Qs),0.9996875000000001,0.9993621715114334,0.0025
Near-OOD Detection,Gradient Norm Mean,0.9999125,0.9998245451289478,0.0
Near-OOD Detection,Gradient Cosine Similarity,0.5251250000000001,0.31027993004472687,0.52
Near-OOD Detection,Magnitude-Coherence Product,0.9997875,0.9995781863836486,0.0
Far-OOD Detection,UMAP-2D Mahalanobis,0.9999018382352942,0.9998731456775993,0.0002941176470588235
Far-OOD Detection,PCA-10D Mahalanobis,0.9999996323529411,0.9999996098017698,0.0
Far-OOD Detection,Prediction MSE (50 Qs),1.0,1.0,0.0
Far-OOD Detection,Prediction MSE (20 Qs),1.0,1.0,0.0
Far-OOD Detection,Gradient Norm Mean,1.0,1.0,0.0
Far-OOD Detection,Gradient Cosine Similarity,0.50525,0.30458693172749013,0.5325
Far-OOD Detection,Magnitude-Coherence Product,1.0,1.0,0.0
Real-World OOD Detection,UMAP-2D Mahalanobis,0.9926400735294119,0.9947264877752311,0.0002941176470588235
Real-World OOD Detection,PCA-10D Mahalanobis,0.999958731617647,0.9999584684134408,0.0
Real-World OOD Detection,Prediction MSE (50 Qs),0.9996625,0.9993068031225742,0.0025
Real-World OOD Detection,Prediction MSE (20 Qs),0.99915,0.99828835163121,0.005
Real-World OOD Detection,Gradient Norm Mean,0.9993875,0.9987324169116809,0.005
Real-World OOD Detection,Gradient Cosine Similarity,0.65665,0.38585849732478245,0.5125
Real-World OOD Detection,Magnitude-Coherence Product,0.9084125,0.9173934073066673,0.76
