Dataset Type,N_train,Mean MSE,MSE Std Dev
In-Prior (Matérn GP),10,0.1673082709312439,0.2700234651565552
In-Prior (Matérn GP),30,0.04093077406287193,0.18729092180728912
In-Prior (Matérn GP),50,0.03316101059317589,0.1283027082681656
In-Prior (Matérn GP),70,0.03510862588882446,0.15073825418949127
In-Prior (Matérn GP),90,0.025985632091760635,0.12525248527526855
Out-of-Prior (Mixed OOD),10,2.1564738750457764,1.0760412216186523
Out-of-Prior (Mixed OOD),30,1.294367790222168,0.6467968225479126
Out-of-Prior (Mixed OOD),50,1.0936211347579956,0.47955018281936646
Out-of-Prior (Mixed OOD),70,1.018075942993164,0.45033055543899536
Out-of-Prior (Mixed OOD),90,0.9973663687705994,0.5964671969413757
OOD Sub-Type: Periodic,10,2.619575023651123,0.9242699146270752
OOD Sub-Type: Periodic,30,1.6648608446121216,0.4903698265552521
OOD Sub-Type: Periodic,50,1.4169389009475708,0.3094260096549988
OOD Sub-Type: Periodic,70,1.3225553035736084,0.3224191963672638
OOD Sub-Type: Periodic,90,1.3057430982589722,0.5310986638069153
OOD Sub-Type: Chirp,10,1.5107265710830688,0.8815011978149414
OOD Sub-Type: Chirp,30,0.8734564185142517,0.4632319211959839
OOD Sub-Type: Chirp,50,0.7156915068626404,0.30569106340408325
OOD Sub-Type: Chirp,70,0.657854437828064,0.2536499798297882
OOD Sub-Type: Chirp,90,0.627921462059021,0.3348604738712311
