/home/psquare_a6000/Desktop/conformal_ood/TransformersCanDoBayesianInference/transformer.py:18: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.transformer_encoder = TransformerEncoder(encoder_layers, nlayers)
==========================================
Training Model: all_three
Device: cuda:1
Epochs: 100 | Steps/Epoch: 100
==========================================
DataLoader.__dict__ {'num_steps': 100, 'fuse_x_y': False, 'get_batch_kwargs': {'batch_size': 128, 'seq_len': 100, 'num_features': 1}, 'num_features': 1, 'num_outputs': 1}
Epoch   1/100 | Train MSE: 0.9958 | Train NLL: 48.4065 | Val MSE: 1.0196 | Val NLL: 49.5952 | LR: 0.000057
Epoch  10/100 | Train MSE: 0.0507 | Train NLL: 1.1500 | Val MSE: 0.0417 | Val NLL: 0.7001 | LR: 0.000573
Epoch  20/100 | Train MSE: 0.0270 | Train NLL: -0.0353 | Val MSE: 0.0187 | Val NLL: -0.4508 | LR: 0.001145
Epoch  30/100 | Train MSE: 0.0219 | Train NLL: -0.2909 | Val MSE: 0.0161 | Val NLL: -0.5779 | LR: 0.001102
Epoch  40/100 | Train MSE: 0.0280 | Train NLL: 0.0159 | Val MSE: 0.0130 | Val NLL: -0.7354 | LR: 0.000978
Epoch  50/100 | Train MSE: 0.0249 | Train NLL: -0.1397 | Val MSE: 0.0097 | Val NLL: -0.8996 | LR: 0.000792
Epoch  60/100 | Train MSE: 0.0084 | Train NLL: -0.9650 | Val MSE: 0.0099 | Val NLL: -0.8903 | LR: 0.000573
Epoch  70/100 | Train MSE: 0.0158 | Train NLL: -0.5915 | Val MSE: 0.0073 | Val NLL: -1.0184 | LR: 0.000354
Epoch  80/100 | Train MSE: 0.0079 | Train NLL: -0.9898 | Val MSE: 0.0062 | Val NLL: -1.0746 | LR: 0.000168
Epoch  90/100 | Train MSE: 0.0035 | Train NLL: -1.2091 | Val MSE: 0.0060 | Val NLL: -1.0854 | LR: 0.000044
Epoch 100/100 | Train MSE: 0.0167 | Train NLL: -0.5480 | Val MSE: 0.0061 | Val NLL: -1.0798 | LR: 0.000000
Training for all_three completed successfully. Best Val MSE: 0.005964
