/home/psquare_a6000/Desktop/conformal_ood/TransformersCanDoBayesianInference/transformer.py:18: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.self_attn.batch_first was not True(use batch_first for better inference performance)
  self.transformer_encoder = TransformerEncoder(encoder_layers, nlayers)
==========================================
Training Model: rbf_matern
Device: cuda:0
Epochs: 100 | Steps/Epoch: 100
==========================================
DataLoader.__dict__ {'num_steps': 100, 'fuse_x_y': False, 'get_batch_kwargs': {'batch_size': 128, 'seq_len': 100, 'num_features': 1}, 'num_features': 1, 'num_outputs': 1}
Epoch   1/100 | Train MSE: 1.0229 | Train NLL: 49.7615 | Val MSE: 1.0301 | Val NLL: 50.1211 | LR: 0.000057
Epoch  10/100 | Train MSE: 0.0291 | Train NLL: 0.0736 | Val MSE: 0.0255 | Val NLL: -0.1063 | LR: 0.000573
Epoch  20/100 | Train MSE: 0.0252 | Train NLL: -0.1253 | Val MSE: 0.0231 | Val NLL: -0.2277 | LR: 0.001145
Epoch  30/100 | Train MSE: 0.0196 | Train NLL: -0.4061 | Val MSE: 0.0124 | Val NLL: -0.7655 | LR: 0.001102
Epoch  40/100 | Train MSE: 0.0200 | Train NLL: -0.3820 | Val MSE: 0.0184 | Val NLL: -0.4643 | LR: 0.000978
Epoch  50/100 | Train MSE: 0.0170 | Train NLL: -0.5360 | Val MSE: 0.0172 | Val NLL: -0.5261 | LR: 0.000792
Epoch  60/100 | Train MSE: 0.0316 | Train NLL: 0.1956 | Val MSE: 0.0071 | Val NLL: -1.0302 | LR: 0.000573
Epoch  70/100 | Train MSE: 0.0178 | Train NLL: -0.4915 | Val MSE: 0.0147 | Val NLL: -0.6510 | LR: 0.000354
Epoch  80/100 | Train MSE: 0.0087 | Train NLL: -0.9496 | Val MSE: 0.0073 | Val NLL: -1.0197 | LR: 0.000168
Epoch  90/100 | Train MSE: 0.0075 | Train NLL: -1.0067 | Val MSE: 0.0057 | Val NLL: -1.0999 | LR: 0.000044
Epoch 100/100 | Train MSE: 0.0090 | Train NLL: -0.9359 | Val MSE: 0.0069 | Val NLL: -1.0404 | LR: 0.000000
Training for rbf_matern completed successfully. Best Val MSE: 0.005676
