Model,Layer,R2_Dual_alpha,R2_Primal_w
TabPFN_v2,0,0.029978234046729613,0.0
TabPFN_v2,1,0.048894719486132554,0.0
TabPFN_v2,2,0.016366017763540564,0.0
TabPFN_v2,3,0.3005526810149779,0.0
TabPFN_v2,4,0.2780672671707067,0.0
TabPFN_v2,5,0.5089913437502427,0.0
TabPFN_v2,6,0.824968895328513,0.0
TabPFN_v2,7,0.8722028036619062,0.0
TabPFN_v2,8,0.908582416814515,0.0
TabPFN_v2,9,0.9382279347762996,0.0
TabPFN_v2,10,0.9246460522110634,0.0
TabPFN_v2,11,0.8998145544373983,0.0
TabICL_v2,0,0.7123436012865614,0.0
TabICL_v2,1,0.7769883799521937,0.0
TabICL_v2,2,0.7876986652999082,0.0
TabICL_v2,3,0.8133842195704032,0.0
TabICL_v2,4,0.8853067562585448,0.0
TabICL_v2,5,0.8722673885262638,0.0
TabICL_v2,6,0.9204790964767723,0.0
TabICL_v2,7,0.9286101123124532,0.0
TabICL_v2,8,0.9418485638890424,0.0
TabICL_v2,9,0.9264817189524377,0.0
TabICL_v2,10,0.926741704451052,0.0
TabICL_v2,11,0.9202890488990529,0.0
