Model,Layer,R2_Gram_Entry,Attn_Gram_CosSim
TabPFN_v2,0,0.34603464587661636,0.7714061746125025
TabPFN_v2,1,0.2288584453337001,0.851165037650392
TabPFN_v2,2,0.21396345969715266,0.8729687760175067
TabPFN_v2,3,0.22916475464979316,0.5226425821427004
TabPFN_v2,4,0.2959577481040022,0.7085322558958287
TabPFN_v2,5,0.49312873316122263,0.7975869301752989
TabPFN_v2,6,0.4394374077187602,0.8411841083766242
TabPFN_v2,7,0.4668862077107877,0.7132633786835675
TabPFN_v2,8,0.3373191799211549,0.6139742293396445
TabPFN_v2,9,0.3417354014834725,0.7416310306695385
TabPFN_v2,10,0.3041712705903909,0.7313964526388502
TabPFN_v2,11,0.32958834828469796,0.8861880600049451
TabICL_v2,0,0.908990756119501,
TabICL_v2,1,0.8816553189598733,
TabICL_v2,2,0.8018785805337258,
TabICL_v2,3,0.7271078675166838,
TabICL_v2,4,0.5363010862944403,
TabICL_v2,5,0.6043067955953964,
TabICL_v2,6,0.549216212418097,
TabICL_v2,7,0.4738614819299412,
TabICL_v2,8,0.4668861533693542,
TabICL_v2,9,0.44681150347528253,
TabICL_v2,10,0.40217636761672076,
TabICL_v2,11,0.334737101094965,
