Model,Layer,Relative_Kernel_Shift,Relative_Solution_Shift
TabPFN_v2,0,0.570556640625,3.018148415976826
TabPFN_v2,1,0.719384765625,1.8257326484651966
TabPFN_v2,2,0.7609375,0.13165993839815884
TabPFN_v2,3,0.660888671875,1.1204848236827212
TabPFN_v2,4,0.3445556640625,0.371309838900118
TabPFN_v2,5,0.153759765625,0.6037643389638728
TabPFN_v2,6,0.14609375,0.4898170695183546
TabPFN_v2,7,0.119500732421875,0.4641106153790605
TabPFN_v2,8,0.1581298828125,0.35761074932612863
TabPFN_v2,9,0.13035888671875,0.3844541208562254
TabPFN_v2,10,0.084161376953125,0.3637053402905808
TabPFN_v2,11,0.027754974365234376,0.4107537482868679
TabICL_v2,0,0.15154986903071405,0.39603600000818473
TabICL_v2,1,0.14239318743348123,0.3679925669855506
TabICL_v2,2,0.16821994706988336,0.39960257078340666
TabICL_v2,3,0.2588487610220909,0.4087934732318921
TabICL_v2,4,0.32757159471511843,0.43297591271975006
TabICL_v2,5,0.3396440982818604,0.43734449379537654
TabICL_v2,6,0.3640622228384018,0.42525448737910754
TabICL_v2,7,0.5980677962303161,0.44611066022871615
TabICL_v2,8,0.6262191534042358,0.44436721295845966
TabICL_v2,9,0.7393745839595794,0.4556356774449995
TabICL_v2,10,0.5543567061424255,0.5692182706747524
TabICL_v2,11,0.27831847965717316,0.45308475297147827
