sigma_true,sigma2_true,Layer,implied_sigma2_gcv,Model
0.001,1e-06,0,10.0,TabPFN_v2
0.001,1e-06,1,10.0,TabPFN_v2
0.001,1e-06,2,10.0,TabPFN_v2
0.001,1e-06,3,10.0,TabPFN_v2
0.001,1e-06,4,10.0,TabPFN_v2
0.001,1e-06,5,2.44205309454865,TabPFN_v2
0.001,1e-06,6,4.291934260128778,TabPFN_v2
0.001,1e-06,7,4.291934260128778,TabPFN_v2
0.001,1e-06,8,1.8420699693267164,TabPFN_v2
0.001,1e-06,9,1.0481131341546852,TabPFN_v2
0.001,1e-06,10,0.003727593720314938,TabPFN_v2
0.001,1e-06,11,0.5963623316594636,TabPFN_v2
0.01,0.0001,0,10.0,TabPFN_v2
0.01,0.0001,1,10.0,TabPFN_v2
0.01,0.0001,2,10.0,TabPFN_v2
0.01,0.0001,3,10.0,TabPFN_v2
0.01,0.0001,4,10.0,TabPFN_v2
0.01,0.0001,5,4.291934260128778,TabPFN_v2
0.01,0.0001,6,0.7906043210907702,TabPFN_v2
0.01,0.0001,7,1.389495494373136,TabPFN_v2
0.01,0.0001,8,4.291934260128778,TabPFN_v2
0.01,0.0001,9,10.0,TabPFN_v2
0.01,0.0001,10,10.0,TabPFN_v2
0.01,0.0001,11,1.0481131341546852,TabPFN_v2
0.05,0.0025000000000000005,0,10.0,TabPFN_v2
0.05,0.0025000000000000005,1,10.0,TabPFN_v2
0.05,0.0025000000000000005,2,10.0,TabPFN_v2
0.05,0.0025000000000000005,3,10.0,TabPFN_v2
0.05,0.0025000000000000005,4,10.0,TabPFN_v2
0.05,0.0025000000000000005,5,0.44984326689694437,TabPFN_v2
0.05,0.0025000000000000005,6,1.0481131341546852,TabPFN_v2
0.05,0.0025000000000000005,7,1.8420699693267164,TabPFN_v2
0.05,0.0025000000000000005,8,4.291934260128778,TabPFN_v2
0.05,0.0025000000000000005,9,0.33932217718953295,TabPFN_v2
0.05,0.0025000000000000005,10,0.7906043210907702,TabPFN_v2
0.05,0.0025000000000000005,11,0.0012067926406393288,TabPFN_v2
0.1,0.010000000000000002,0,10.0,TabPFN_v2
0.1,0.010000000000000002,1,10.0,TabPFN_v2
0.1,0.010000000000000002,2,10.0,TabPFN_v2
0.1,0.010000000000000002,3,10.0,TabPFN_v2
0.1,0.010000000000000002,4,10.0,TabPFN_v2
0.1,0.010000000000000002,5,5.689866029018293,TabPFN_v2
0.1,0.010000000000000002,6,5.689866029018293,TabPFN_v2
0.1,0.010000000000000002,7,4.291934260128778,TabPFN_v2
0.1,0.010000000000000002,8,10.0,TabPFN_v2
0.1,0.010000000000000002,9,10.0,TabPFN_v2
0.1,0.010000000000000002,10,10.0,TabPFN_v2
0.1,0.010000000000000002,11,0.10985411419875572,TabPFN_v2
0.2,0.04000000000000001,0,10.0,TabPFN_v2
0.2,0.04000000000000001,1,10.0,TabPFN_v2
0.2,0.04000000000000001,2,10.0,TabPFN_v2
0.2,0.04000000000000001,3,10.0,TabPFN_v2
0.2,0.04000000000000001,4,10.0,TabPFN_v2
0.2,0.04000000000000001,5,1.0481131341546852,TabPFN_v2
0.2,0.04000000000000001,6,0.00868511373751352,TabPFN_v2
0.2,0.04000000000000001,7,0.7906043210907702,TabPFN_v2
0.2,0.04000000000000001,8,1.0481131341546852,TabPFN_v2
0.2,0.04000000000000001,9,1.389495494373136,TabPFN_v2
0.2,0.04000000000000001,10,0.7906043210907702,TabPFN_v2
0.2,0.04000000000000001,11,0.5963623316594636,TabPFN_v2
0.5,0.25,0,7.543120063354607,TabPFN_v2
0.5,0.25,1,7.543120063354607,TabPFN_v2
0.5,0.25,2,4.291934260128778,TabPFN_v2
0.5,0.25,3,7.543120063354607,TabPFN_v2
0.5,0.25,4,10.0,TabPFN_v2
0.5,0.25,5,10.0,TabPFN_v2
0.5,0.25,6,2.44205309454865,TabPFN_v2
0.5,0.25,7,7.543120063354607,TabPFN_v2
