Layer,Cross_Model_CKA,Cross_Model_Alignment_R2,TabPFN_Within_Family_CKA,TabICL_Within_Family_CKA
0,0.4423921490700389,0.6989143983152926,1.0,1.0
1,0.3384247942889702,0.0,0.7710892747735948,0.9531956311580979
2,0.27022351600468486,0.0,0.9920236651304525,0.9680765206960343
3,0.21347511377812878,0.40733105840546846,0.9944894015348053,0.9837019617138886
4,0.1912490775960793,0.4488758009882118,0.9921956439648199,0.9525384587748188
5,0.3613768033660131,0.0,0.8687119086318403,0.9778163371767296
6,0.45898757129631657,0.0,0.8071039986798542,0.9864784514960835
7,0.4931470708300626,0.7624790171215238,0.9729870887092513,0.9738972682230916
8,0.5410031151699016,0.6427458464956308,0.7681399222161922,0.9691433531177103
9,0.6203601475792119,0.8373136329590096,0.9420508717169405,0.9248499239669516
10,0.6798396876291685,0.8092626609142487,0.9124796799468886,0.9521523473657235
11,0.7085217808693086,0.0,0.8315844186232172,0.8509337395469377
