Model,Varying_Parameter,d,n,Effective_Rank
TabPFN_v2,d,1,100,10.900460243225098
TabICL_v2,d,1,100,25.478832244873047
TabPFN_v2,d,5,100,10.601150512695312
TabICL_v2,d,5,100,27.533254623413086
TabPFN_v2,d,10,100,9.83863353729248
TabICL_v2,d,10,100,25.298250198364258
TabPFN_v2,d,20,100,8.264248847961426
TabICL_v2,d,20,100,20.218446731567383
TabPFN_v2,n,1,50,8.549567222595215
TabICL_v2,n,1,50,18.63130760192871
TabPFN_v2,n,1,100,11.379998207092285
TabICL_v2,n,1,100,24.065269470214844
TabPFN_v2,n,1,200,11.179084777832031
TabICL_v2,n,1,200,20.827363967895508
TabPFN_v2,n,1,400,12.591635704040527
TabICL_v2,n,1,400,25.17873191833496
